Day,Month,Year,Group,JSON_Day,JSON_Month,JSON_Year
8,2,2023,Red,,,
8,2,2023,Mammoth WVH,,,
8,2,2023,Alter Bridge,,,
18,2,2023,Myron Elkins,17,2,2023
18,2,2023,The White Buffalo,17,2,2023
13,3,2023,Housewife,7,3,2023
7,3,2023,Paolo Nutini,,,
17,3,2023,The Lemon Twigs,,,
17,3,2023,The Killers,,,
7,4,2023,From Ashes to New,,,
7,4,2023,Three Days Grace,,,
7,4,2023,Shinedown,,,
16,5,2023,Poppy Jean Crawford,30,4,2023
30,4,2023,Placebo,30,4,2023
24,5,2023,Taipei Houston,,,
24,5,2023,Foo Fighters,,,
26,5,2023,Dropkick Murphys,,,
26,5,2023,Foo Fighters,,,
3,6,2023,Starcrawler,31,5,2023
31,5,2023,The Record Company,,,
31,5,2023,Rival Sons,,,
18,6,2023,Paramore,,,
18,6,2023,Foo Fighters,,,
19,7,2023,Kim Dracula,,,
19,7,2023,Alexisonfire,,,
19,7,2023,Avenged Sevenfold,,,
26,7,2023,Staind,,,
26,7,2023,Godsmack,,,
2,8,2023,Four Year Strong,,,
2,8,2023,Bring Me The Horizon,,,
2,8,2023,Fall Out Boy,,,
12,8,2023,Mammoth WVH,,,
12,8,2023,Sevendust,,,
12,8,2023,Alter Bridge,,,
19,8,2023,Lou Gramm,,,
23,8,2023,Jinjer,,,
23,8,2023,Breaking Benjamin,,,
23,8,2023,Disturbed,,,
25,8,2023,Rival Sons,,,
25,8,2023,Interpol,,,
25,8,2023,The Smashing Pumpkins,,,
15,9,2023,John Fogerty,,,
25,9,2023,Maneskin,,,
30,10,2023,Andrés Calamaro,,,
15,11,2023,Nita Strauss,,,
15,11,2023,Mammoth WVH,,,
